run_id,phase7d_protocol_fingerprint,phase7d_support_fingerprint,variant,geometry_key,bond_length_angstrom,operator_count,restart_name,parameter_seed,success,optimizer_success,optimizer_status,optimizer_message,iterations,function_evaluations,energy_total_ha,spin_square,state_norm_residual,gradient_infinity_norm,parameters_json
chemical_boundary46|3.000000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,chemical_boundary46,3.000000,3.0,46,zero,320262705,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,29,-7.94804168806186,0.023373688836744566,0.0,4.634319936524619e-06,"[-0.2299223068895204, -0.04968094634905844, -0.047124460368428385, -0.02554065432961131, -0.05393209881194442, -0.1125176624658455, 0.031621345514615574, -0.0366931385116526, -0.03214329232174677, -0.21545843495680045, -0.17893357064193244, -0.01755955194141257, 0.042961456404731674, -0.009139753516336604, -0.007588916864575784, -0.0019088630472207443, -0.0021935539464481113, -0.007589167468728312, -0.0021936223624138785, 0.001908930645132028, -0.17469730616885493, -0.16162249969838824, -0.013777526630708572, 0.02753007319942403, -0.009734821993257932, -0.018382086495191654, -0.014161385133200848, -0.0015700417244155574, 0.0029888412712803752, -0.0015415894841009034, -0.0017993711079130502, -0.0020677317515282426, -0.0016724511096008925, -0.00206773905441382, 0.0017993842365360848, -0.0016724597350324707, 0.03699142737717866, 0.02354414534162275, 0.0019247222511367362, -0.015852508226696434, -0.0018103919718951633, -0.022290680663012794, -0.015557443055994229, -0.0035338186302440408, -0.0006872325442339283, -0.014625205987484588]"
chemical_boundary46|3.000000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,chemical_boundary46,3.000000,3.0,46,seeded_random_0,320262706,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,27,31,-7.948041687764222,0.02336618032815446,1.1102230246251565e-16,6.66781883795764e-06,"[-0.22993759649130402, -0.04965915045119445, -0.047123091295394354, -0.025563374663480697, -0.053930475925513185, -0.11255242173922815, 0.031625449482309775, -0.03668526351093758, -0.0321329767123142, -0.21548779741132398, -0.17893899123110454, -0.017553148410027457, 0.042971115007795116, -0.009140581550446253, -0.007587965746581698, -0.0019088441042599312, -0.0021932774358994675, -0.00758727618322695, -0.0021929960462741755, 0.001908341510285263, -0.17470736744956133, -0.16162286628992764, -0.013772257294367268, 0.02753570682839487, -0.0097358872745142, -0.018382259704870393, -0.014159070275779947, -0.0015697127425306882, 0.0029895337107593853, -0.0015417046269300461, -0.0017988934344965039, -0.0020670394216799415, -0.0016725608296689835, -0.002067405646933065, 0.0017985363571342947, -0.0016723733938896629, 0.03698415436801047, 0.02353993325185588, 0.0019219894932867836, -0.01585206342555742, -0.0018114629188498276, -0.022291542534704223, -0.015557818683849088, -0.003534625489417838, -0.000685041074094127, -0.014623509702638884]"
spin_complete_candidate47|1.595000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,spin_complete_candidate47,1.595000,1.595,47,zero,179763335,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,18,-7.998002039199645,8.030419920538985e-12,2.220446049250313e-16,6.1198079276403305e-06,"[-0.04031142719597203, 0.0062920395482434655, -0.007929707001264672, 0.00016515415759313408, 0.01617201109498954, -0.04030880634811714, 0.006291360627013675, -0.007929241085529525, 0.00016484766034835816, 0.016171625753430955, -0.04071601363345445, 0.06076775766920169, -0.002742867397707796, 0.0061032376511380645, 0.006812541933363998, -0.023443560163506873, 0.0016327216384361986, 0.0008527117405513409, -0.023450038514040296, 0.0008529479089425687, -0.0016331765254264015, 0.06091510357635357, -0.10233945228232798, 0.001589710594179995, -0.010210324927288942, 0.00019577545793132237, -0.002764212409316577, 0.0015898780613449585, -0.0015710756418931722, 0.0051001058883798, 0.0015840665225319605, 0.00164495879991252, 0.0008591031126898711, -0.0007839883816820508, 0.0008591033664107667, -0.001644963295945285, -0.0007839898318275176, 0.006150859228634792, -0.010211450163507997, 0.0051005417122737895, -0.026810631223223, 0.005220252525853903, 0.006868506304003542, 0.0001959216621714821, 0.0015847922714761315, 0.005220314232905825, -0.013801177163631882]"
spin_complete_candidate47|1.595000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,spin_complete_candidate47,1.595000,1.595,47,seeded_random_0,179763336,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,20,23,-7.998002039037212,4.3799702998375564e-09,0.0,7.872158914401517e-06,"[-0.04027696990718253, 0.0062887727780215836, -0.0079253748085122, 0.00016131288821898322, 0.016170308980916266, -0.04033786377042708, 0.0062949774023454445, -0.00794435075313681, 0.00015943316839575427, 0.016171259419009616, -0.04070942301020122, 0.06075483314367912, -0.002743656027916245, 0.006099502254583796, 0.006808723789439441, -0.02344635778929314, 0.0016320862132379176, 0.0008521933039273563, -0.023452933022306378, 0.0008523665050929334, -0.00163249689477244, 0.060917763537149484, -0.10233644051158068, 0.0015922312853329814, -0.010207995903176061, 0.00019665055684149564, -0.0027624326314606372, 0.001587452157408559, -0.0015715320976440053, 0.005099183931137383, 0.0015846215489489451, 0.0016442076722617506, 0.0008592746150750622, -0.0007840071833152376, 0.0008588982439124578, -0.0016443437398903143, -0.0007839539281736334, 0.006150115372863936, -0.010209510842519419, 0.005101376306358103, -0.026809725339668425, 0.005220189057554574, 0.006867411319106935, 0.0001975626531107685, 0.0015865214381550695, 0.005220967882320212, -0.013800104043220322]"
spin_complete_candidate47|2.500000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,spin_complete_candidate47,2.500000,2.5,47,zero,270263335,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,20,-7.9690746234664225,4.030056338943196e-09,5.551115123125783e-16,2.8334314450262355e-06,"[-0.10234691667995997, -0.01759102822180579, -0.01804533513957679, -0.01728633737945715, 0.027827693017777863, -0.10229085345021509, -0.017568163876095035, -0.018034645617925275, -0.01728518513821789, 0.027821905786969345, -0.10972235493455726, -0.12313406280430822, -0.013064760603255244, 0.02362495954475897, 0.012261135956291535, -0.012691237478568903, 0.0011681468473329132, 0.0022607350248438273, -0.012692301908170259, -0.0022609231386542072, 0.0011682477438378983, -0.12411106919447885, -0.15906701834850723, -0.011195794820795286, 0.016903993849652493, 0.00897433825611359, -0.013342758689137126, -0.011201558191951748, -0.002392195554847858, 0.005905212106422219, 0.002179958492667905, 0.001192495759190265, -0.002307858388151615, -0.001247220870234225, 0.0023078660101360526, 0.001192504011390469, -0.0012472258697457982, 0.02412353348375839, 0.016913401110156823, 0.0059070372179894125, -0.02377374498396475, 0.005358342269744056, 0.01252772479500092, 0.008984634443779579, 0.002181849066965267, 0.005358261142613643, -0.016400476508953356]"
spin_complete_candidate47|2.500000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,spin_complete_candidate47,2.500000,2.5,47,seeded_random_0,270263336,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,25,29,-7.969074623514287,5.502821294399886e-10,4.440892098500626e-16,3.380085396247916e-06,"[-0.10231506822957173, -0.017569618795453323, -0.018034422891983468, -0.017291777249154008, 0.027822007601487248, -0.10231696807287065, -0.01758886112484798, -0.01804336894666546, -0.017284561760747195, 0.027826399199340057, -0.10971784954926937, -0.12312920296988375, -0.013065031366107174, 0.02362295657655949, 0.012261396611691724, -0.012692542250014425, 0.0011682710637878992, 0.002261798015127758, -0.012693730127507527, -0.002261832438120684, 0.001168447581862573, -0.12411230667204733, -0.15906765959028424, -0.011197320358124043, 0.016903636638589833, 0.008974470902033498, -0.013338737238558102, -0.011198257028475234, -0.0023921197883776503, 0.0059039849452535145, 0.002180632022249852, 0.0011925593645673563, -0.0023085519538203476, -0.00124776125389508, 0.0023086245967869836, 0.0011926548950577168, -0.001247613725409897, 0.024124747396835806, 0.016912850822344918, 0.00590773547896479, -0.023772724678574702, 0.0053581680959434805, 0.012526553653657431, 0.008983465620023364, 0.0021821991606550744, 0.005359108448218805, -0.016400627003628175]"
spin_complete_candidate47|3.000000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,spin_complete_candidate47,3.000000,3.0,47,zero,320263335,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,21,-7.949505080221286,1.9051057384986555e-07,1.1102230246251565e-16,1.8148157007715365e-05,"[-0.18330986944633537, -0.022212011801327168, -0.04009197960609422, -0.027894300489752614, -0.04666069821982043, -0.18292502824925405, -0.02205116728465187, -0.04002582294008954, -0.027902018213672313, -0.046610060173962894, -0.22856578923922055, -0.18651524419013663, -0.01763408761987555, 0.04068236437526105, -0.021977000645511554, -0.008313856561207793, -0.0018851711287528614, -0.00216632846518736, -0.008314177906661176, -0.0021664086085757045, 0.001885248622595858, -0.18984441710345604, -0.1711314649522203, -0.014150869658419012, 0.02647168083869331, -0.015607334296862722, -0.018255760887056913, -0.014176341032098251, -0.0014602639703270282, 0.0024405771361656783, -0.003416455972522253, -0.001947364629896135, -0.0022377983316963905, -0.0017391087847629186, -0.002237806870122326, 0.0019473813645881995, -0.0017391190702036486, 0.04204732438861959, 0.026504895372378576, 0.0024372934297095176, -0.01639471452819599, -0.0012154067149965468, -0.022748477401564247, -0.015648587659274776, -0.003422968755184025, -0.0012114368243602712, -0.016394307848288003]"
spin_complete_candidate47|3.000000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,spin_complete_candidate47,3.000000,3.0,47,seeded_random_0,320263336,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,26,28,-7.9495050825846505,2.587583823799815e-09,6.661338147750939e-16,6.182037350404592e-06,"[-0.18313292506653275, -0.022111512217941713, -0.04007695643785728, -0.027922140052717873, -0.04663368745494005, -0.18310132365859708, -0.022129314572619994, -0.04006439687296225, -0.027902317014800674, -0.04663605924228345, -0.22856975188309797, -0.1864905828593664, -0.017645275463559044, 0.040665924300135624, -0.021977465313098563, -0.008314329663797583, -0.0018837374808133736, -0.00216539135932127, -0.008312961645221722, -0.0021670662560053307, 0.0018859782066197477, -0.1898656594983284, -0.17113819440852474, -0.014156538252325863, 0.0264672109328998, -0.015607479533867489, -0.01825679764555842, -0.01417487013270799, -0.0014620361790743976, 0.002437146764453572, -0.0034196462375015867, -0.001948457055720664, -0.002238414271021467, -0.0017390128459775726, -0.002237595103627999, 0.0019473401910311077, -0.0017390418186228197, 0.042047995177416336, 0.02650513577971019, 0.0024404738459989643, -0.01639246800658884, -0.001212248866060697, -0.022743095396649315, -0.01563839770947694, -0.0034239857436673634, -0.0012112296845035262, -0.016397825411698767]"
full99|1.595000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,full99,1.595000,1.595,99,zero,179761363,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,14,18,-7.998002039199641,8.030419924254736e-12,7.771561172376096e-16,6.119807875681893e-06,"[-0.040311427195938755, 0.0, 0.0, 0.00629203954828342, -0.00792970700124871, 0.0, 0.0, 0.0001651541576526475, 0.016172011095026494, -0.0403088063480846, 0.0, 0.0, 0.006291360627053725, -0.007929241085510758, 0.0, 0.0, 0.00016484766040625377, 0.01617162575346797, -0.04071601363340201, 0.0, 0.0, 0.06076775766919659, -0.002742867397704203, 0.0, 0.0, 0.006103237651147379, 0.006812541933330831, 0.0, -0.023443560176002104, -3.748316889630118e-13, 0.0, 0.0, 0.001632721651416615, 0.0008527117711721047, 0.0, 0.0, 0.0, -2.20809029418176e-13, -0.023450038501546165, 0.0, 0.0, 0.0008529478783024415, -0.0016331765123782137, 0.0, 0.0, 0.06091510357634642, 0.0, 0.0, -0.10233945228233111, 0.0015897105941792692, 0.0, 0.0, -0.010210324927307196, 0.0001957754579029228, -0.002764212409306425, 0.0, 0.0, 0.0015898780613411974, -0.001571075641890453, 0.0, 0.0, 0.005100105888378807, 0.0015840665225357988, 0.0, 0.0016449588135143917, 0.0008591030813085413, 0.0, 0.0, -0.0007839883800286779, -9.442710496073329e-11, 0.0, 0.0, 0.0, 0.0008591033977544144, -0.0016449632823294944, 0.0, 0.0, -9.444235563483116e-11, -0.0007839898334656918, 0.0, 0.0, 0.006150859228640557, 0.0, 0.0, -0.010211450163521528, 0.005100541712271719, 0.0, 0.0, -0.0268106312232323, 0.005220252525845345, 0.006868506303973845, 0.0, 0.0, 0.00019592166214111505, 0.0015847922714832185, 0.0, 0.0, 0.005220314232897946, -0.013801177163653752]"
full99|1.595000|seeded_random_0,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,full99,1.595000,1.595,99,seeded_random_0,179761364,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,23,25,-7.998002039006687,1.1401277627522342e-09,0.0,8.720733109146561e-06,"[-0.04028970508382625, 5.738654394737681e-06, -1.928631899451016e-05, 0.006294184393072461, -0.007926310996815306, -2.900590858896058e-07, 5.773563593340114e-06, 0.00016877177019508733, 0.016172208378659972, -0.04029870311079538, 2.3076882619760323e-06, 8.572833573607512e-06, 0.006288562524300029, -0.007929523541333177, 7.98184023404946e-06, 3.55887970800245e-07, 0.0001683495398325796, 0.01616997261251966, -0.040704576825196195, 4.823815982262499e-07, 1.8914305259488496e-06, 0.060757521622786484, -0.0027409658076127667, 1.870246795500839e-06, -3.252442450320291e-07, 0.0061009009188392966, 0.006809839615541925, 1.5099491766107478e-06, -0.023444247526818212, -1.1262968532313861e-08, -1.7832536581602762e-06, -6.174640946814206e-08, 0.0016320317453328795, 0.0008520738279120263, 7.192656305009386e-08, -7.476739354100718e-07, -3.9249489159647875e-06, 8.605235330989586e-08, -0.02345134876908445, 5.320029770350262e-06, -4.935401065151243e-07, 0.0008527620559337726, -0.0016323264853718776, 1.1988212829351064e-06, 1.1682616853570141e-06, 0.060909080542096414, -3.2762270575588133e-07, -2.473556493342039e-06, -0.10233828145935976, 0.0015884540469254815, -2.417397170627366e-06, -3.956850576303524e-08, -0.010209822427266398, 0.00019943057480338748, -0.002762285425556937, -3.1026484557111967e-07, 3.335137518824788e-07, 0.001588252437848873, -0.001570562255766648, -1.563536352279372e-07, -2.466772516655294e-07, 0.005100046126449804, 0.0015838559413688307, 3.1806478749483816e-07, 0.0016443078531398658, 0.0008590351570986411, -4.720999290549747e-08, -1.5166061273701967e-07, -0.0007842851204966554, 3.781390407021817e-07, 2.1123964674040308e-07, 8.959362732939881e-07, 1.843890097671657e-06, 0.0008588206118370354, -0.0016443008642798738, -1.2957698643278647e-06, 4.4319546105385017e-07, 5.315240632518822e-07, -0.0007840931128962912, -1.1178034917694724e-06, 5.05669154649576e-08, 0.006150415183130674, -3.4545928292648095e-07, -1.1300843567930945e-06, -0.010210252240695857, 0.005100476161479311, 7.736814891187879e-08, 1.4528161381322131e-07, -0.026809784195619454, 0.005217220757239109, 0.0068673784607078394, -2.266879286600406e-07, -1.048562981569777e-06, 0.00019818836279713188, 0.001586458959534934, 3.475568978606851e-07, 6.403391258878379e-07, 0.005218001692774303, -0.013801020357982488]"
full99|2.500000|zero,454022626abb6f3096e3fda104e2d34c05050eee9a63176c50a62423e8b3c6aa,0049b07d140790c3d87336bccf293a344fa527001526b014fd074e6c8a2ac082,full99,2.500000,2.5,99,zero,270261363,True,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,17,20,-7.969074623466422,4.030056331083881e-09,8.881784197001252e-16,2.8334314337019606e-06,"[-0.10234691667990252, 0.0, 0.0, -0.017591028221795788, -0.018045335139596302, 0.0, 0.0, -0.01728633737949197, 0.027827693017773592, -0.10229085345021052, 0.0, 0.0, -0.01756816387611515, -0.018034645617951733, 0.0, 0.0, -0.017285185138249285, 0.027821905786967645, -0.10972235493452151, 0.0, 0.0, -0.12313406280430657, -0.013064760603255388, 0.0, 0.0, 0.02362495954473617, 0.012261135956284575, 0.0, -0.012691237539631644, -1.1965850419521468e-11, 0.0, 0.0, 0.0011681467889867124, 0.0022607349975369466, 0.0, 0.0, 0.0, -1.2924745059910669e-11, -0.012692301847102988, 0.0, 0.0, -0.0022609231654122743, 0.0011682478032321638, 0.0, 0.0, -0.12411106919448868, 0.0, 0.0, -0.15906701834848, -0.011195794820824499, 0.0, 0.0, 0.016903993849624984, 0.008974338256118177, -0.013342758689139072, 0.0, 0.0, -0.01120155819198034, -0.002392195554854516, 0.0, 0.0, 0.005905212106417958, 0.0021799584926648703, 0.0, 0.0011924957134869128, -0.002307858411025747, 0.0, 0.0, -0.001247220878153287, 1.5880814301455364e-10, 0.0, 0.0, 0.0, 0.0023078659878965975, 0.0011925040559110337, 0.0, 0.0, 1.5932641735918297e-10, -0.0012472258618164017, 0.0, 0.0, 0.02412353348373577, 0.0, 0.0, 0.016913401110130403, 0.005907037217985994, 0.0, 0.0, -0.023773744983966984, 0.005358342269748598, 0.012527724794988055, 0.0, 0.0, 0.008984634443783128, 0.002181849066965431, 0.0, 0.0, 0.005358261142619893, -0.016400476508939027]"
