bond_length_angstrom,geometry_key,omitted_operator_label,omitted_operator_type,num_parameters,num_unique_initializations,num_valid_initializations,all_runs_valid,source_roles_json,rescue_data_included,all_run_energy_stable,optimizer_basin_sensitive,num_energy_basins,all_run_energy_spread_ha,best_basin_reproducible,best_basin_num_initializations,best_basin_energy_range_ha,best_basin_energy_sample_std_ha,energy_basins_json,compact10_baseline_energy_ha,exact_total_energy_ha,best_leave_one_out_energy_ha,worst_leave_one_out_energy_ha,best_leave_one_out_error_exact_ha,best_energy_penalty_vs_compact10_ha,worst_energy_penalty_vs_compact10_ha,chemical_classification_stable,chemical_accuracy_retained,good_classification_stable,good_accuracy_retained,acceptable_classification_stable,acceptable_accuracy_retained,strict_classification_stable,strict_equivalence_retained,operator_required_for_chemical_accuracy,operator_required_for_strict_equivalence,primary_threshold_classifications_stable,scientifically_resolved,final_resolution_status
2.5,2.500000,D0,double,9,5,5,True,"[""base"", ""rescue_1""]",True,False,True,2,7.4736811148667925e-06,True,3,4.412203935544312e-11,2.5244036025712442e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.006912055333099687, ""energy_max_ha"": -7.816514884474675, ""energy_mean_ha"": -7.81651488450382, ""energy_min_ha"": -7.816514884518797, ""energy_range_ha"": 4.412203935544312e-11, ""energy_sample_std_ha"": 2.5244036025712442e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20680754"", ""random_confirmation|uniform_random|seed=20690761"", ""random_confirmation|uniform_random|seed=21670750""], ""num_initializations"": 3}, {""basin_rank"": 2, ""best_absolute_error_ha"": 0.006919466751707404, ""energy_max_ha"": -7.816507410837682, ""energy_mean_ha"": -7.816507441968939, ""energy_min_ha"": -7.816507473100196, ""energy_range_ha"": 6.226251425545115e-08, ""energy_sample_std_ha"": 4.402624604375359e-08, ""initialization_identities"": [""random_confirmation|uniform_random|seed=20670747"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851903,-7.816514884518797,-7.816507410837682,0.006912055333099687,0.006912055307508602,0.006919528988623469,True,False,True,False,True,True,True,False,True,True,True,True,reproducible_best_basin_with_stable_primary_thresholds
2.5,2.500000,D10,double,9,2,2,True,"[""base""]",False,True,False,1,5.915374856613198e-10,True,2,5.915374856613198e-10,4.1828016743715935e-10,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.00017278903581718907, ""energy_max_ha"": -7.823254150224542, ""energy_mean_ha"": -7.82325415052031, ""energy_min_ha"": -7.823254150816079, ""energy_range_ha"": 5.915374856613198e-10, ""energy_sample_std_ha"": 4.1828016743715935e-10, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21970759"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.823254150816079,-7.823254150224542,0.00017278903581718907,0.00017278901022610427,0.00017278960176358993,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
2.5,2.500000,D12,double,9,2,2,True,"[""base""]",False,True,False,1,1.014388573139513e-11,True,2,1.014388573139513e-11,7.172810388250958e-12,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.0073836191527911765, ""energy_max_ha"": -7.816043320688961, ""energy_mean_ha"": -7.816043320694034, ""energy_min_ha"": -7.816043320699105, ""energy_range_ha"": 1.014388573139513e-11, ""energy_sample_std_ha"": 7.172810388250958e-12, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22070762"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.816043320699105,-7.816043320688961,0.0073836191527911765,0.007383619127200092,0.0073836191373439775,True,False,True,False,True,True,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
2.5,2.500000,D15,double,9,2,2,True,"[""base""]",False,True,False,1,9.082414820227314e-10,True,2,9.082414820227314e-10,6.422237108931931e-10,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.018942532253367617, ""energy_max_ha"": -7.804484406690287, ""energy_mean_ha"": -7.8044844071444075, ""energy_min_ha"": -7.804484407598529, ""energy_range_ha"": 9.082414820227314e-10, ""energy_sample_std_ha"": 6.422237108931931e-10, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22170765"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.804484407598529,-7.804484406690287,0.018942532253367617,0.018942532227776532,0.018942533136018014,True,False,True,False,True,False,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
2.5,2.500000,D3,double,9,2,2,True,"[""base""]",False,True,False,1,1.4923173807801504e-11,True,2,1.4923173807801504e-11,1.0552277396321915e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.007383619142463438, ""energy_max_ha"": -7.81604332069451, ""energy_mean_ha"": -7.816043320701971, ""energy_min_ha"": -7.816043320709433, ""energy_range_ha"": 1.4923173807801504e-11, ""energy_sample_std_ha"": 1.0552277396321915e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21770753"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.816043320709433,-7.81604332069451,0.007383619142463438,0.007383619116872353,0.007383619131795527,True,False,True,False,True,True,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
2.5,2.500000,D5,double,9,2,2,True,"[""base""]",False,True,False,1,5.979741146688866e-10,True,2,5.979741146688866e-10,4.228315514563919e-10,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.00017278904018169783, ""energy_max_ha"": -7.8232541502137405, ""energy_mean_ha"": -7.823254150512728, ""energy_min_ha"": -7.823254150811715, ""energy_range_ha"": 5.979741146688866e-10, ""energy_sample_std_ha"": 4.228315514563919e-10, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21870756"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.823254150811715,-7.8232541502137405,0.00017278904018169783,0.00017278901459061302,0.0001727896125647277,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
2.5,2.500000,S0,single,9,2,2,True,"[""base""]",False,True,False,1,4.906297590423492e-11,True,2,4.906297590423492e-11,3.46927629670767e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.000834279138641314, ""energy_max_ha"": -7.822592660664192, ""energy_mean_ha"": -7.8225926606887235, ""energy_min_ha"": -7.822592660713255, ""energy_range_ha"": 4.906297590423492e-11, ""energy_sample_std_ha"": 3.46927629670767e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21270738"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.822592660713255,-7.822592660664192,0.000834279138641314,0.0008342791130502292,0.0008342791621132051,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
2.5,2.500000,S3,single,9,2,2,True,"[""base""]",False,True,False,1,3.1747937612180976e-11,True,2,3.1747937612180976e-11,2.2449181974260615e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 5.603592840142113e-05, ""energy_max_ha"": -7.823370903891747, ""energy_mean_ha"": -7.823370903907621, ""energy_min_ha"": -7.823370903923495, ""energy_range_ha"": 3.1747937612180976e-11, ""energy_sample_std_ha"": 2.2449181974260615e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21370741"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.823370903923495,-7.823370903891747,5.603592840142113e-05,5.6035902810336324e-05,5.6035934558273937e-05,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
2.5,2.500000,S4,single,9,2,2,True,"[""base""]",False,True,False,1,2.723155034800584e-12,True,2,2.723155034800584e-12,1.9255613913297817e-12,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.0008342791411575234, ""energy_max_ha"": -7.822592660708016, ""energy_mean_ha"": -7.822592660709377, ""energy_min_ha"": -7.822592660710739, ""energy_range_ha"": 2.723155034800584e-12, ""energy_sample_std_ha"": 1.9255613913297817e-12, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21470744"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.822592660710739,-7.822592660708016,0.0008342791411575234,0.0008342791155664386,0.0008342791182895937,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
2.5,2.500000,S7,single,9,2,2,True,"[""base""]",False,True,False,1,3.7414871201235655e-10,True,2,3.7414871201235655e-10,2.6456309143614997e-10,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 5.603596907732822e-05, ""energy_max_ha"": -7.82337090350867, ""energy_mean_ha"": -7.823370903695745, ""energy_min_ha"": -7.823370903882819, ""energy_range_ha"": 3.7414871201235655e-10, ""energy_sample_std_ha"": 2.6456309143614997e-10, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21570747"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.823426939826305,-7.823426939851896,-7.823370903882819,-7.82337090350867,5.603596907732822e-05,5.603594348624341e-05,5.6036317634955424e-05,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,D0,double,9,2,2,True,"[""base""]",False,True,False,1,2.2381207998023456e-10,True,2,2.2381207998023456e-10,1.582590394654898e-10,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.0076794625238365555, ""energy_max_ha"": -7.790824759814339, ""energy_mean_ha"": -7.790824759926245, ""energy_min_ha"": -7.790824760038151, ""energy_range_ha"": 2.2381207998023456e-10, ""energy_sample_std_ha"": 1.582590394654898e-10, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22670753"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.790824760038151,-7.790824759814339,0.0076794625238365555,0.007679462474769139,0.007679462698581219,True,False,True,False,True,True,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,D10,double,9,2,2,True,"[""base""]",False,True,False,1,5.380726975090511e-10,True,2,5.380726975090511e-10,3.8047485317998794e-10,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 6.948703588882665e-05, ""energy_max_ha"": -7.798434734988026, ""energy_mean_ha"": -7.798434735257063, ""energy_min_ha"": -7.798434735526099, ""energy_range_ha"": 5.380726975090511e-10, ""energy_sample_std_ha"": 3.8047485317998794e-10, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22970762"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.798434735526099,-7.798434734988026,6.948703588882665e-05,6.948698682140986e-05,6.948752489410737e-05,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,D12,double,9,2,2,True,"[""base""]",False,True,False,1,9.265477274311706e-12,True,2,9.265477274311706e-12,6.551681811595657e-12,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.007379059949315092, ""energy_max_ha"": -7.791125162603407, ""energy_mean_ha"": -7.79112516260804, ""energy_min_ha"": -7.791125162612673, ""energy_range_ha"": 9.265477274311706e-12, ""energy_sample_std_ha"": 6.551681811595657e-12, ""initialization_identities"": [""random_confirmation|uniform_random|seed=23070765"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.791125162612673,-7.791125162603407,0.007379059949315092,0.007379059900247675,0.007379059909513153,True,False,True,False,True,True,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,D15,double,9,7,7,True,"[""base"", ""rescue_2""]",True,False,True,2,0.0010808157540056484,True,6,2.475335492135855e-10,9.394561828642177e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.009988649662712845, ""energy_max_ha"": -7.788515572651741, ""energy_mean_ha"": -7.7885155727921, ""energy_min_ha"": -7.788515572899275, ""energy_range_ha"": 2.475335492135855e-10, ""energy_sample_std_ha"": 9.394561828642177e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=21170762"", ""random_confirmation|uniform_random|seed=21180769"", ""random_confirmation|uniform_random|seed=21190776"", ""random_confirmation|uniform_random|seed=21200783"", ""random_confirmation|uniform_random|seed=21210790"", ""random_confirmation|uniform_random|seed=23170768""], ""num_initializations"": 6}, {""basin_rank"": 2, ""best_absolute_error_ha"": 0.011069465416716717, ""energy_max_ha"": -7.787434757145269, ""energy_mean_ha"": -7.787434757145269, ""energy_min_ha"": -7.787434757145269, ""energy_range_ha"": 0.0, ""energy_sample_std_ha"": 0.0, ""initialization_identities"": [""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 1}]",-7.79850422251292,-7.798504222561988,-7.788515572899275,-7.787434757145269,0.009988649662712845,0.009988649613645428,0.011069465367651077,True,False,True,False,False,,True,False,True,True,True,True,reproducible_best_basin_with_stable_primary_thresholds
3.0,3.000000,D3,double,9,2,2,True,"[""base""]",False,True,False,1,3.3794300691170065e-11,True,2,3.3794300691170065e-11,2.3896179184183584e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.007379059890359585, ""energy_max_ha"": -7.791125162637834, ""energy_mean_ha"": -7.7911251626547315, ""energy_min_ha"": -7.791125162671628, ""energy_range_ha"": 3.3794300691170065e-11, ""energy_sample_std_ha"": 2.3896179184183584e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22770756"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.791125162671628,-7.791125162637834,0.007379059890359585,0.007379059841292168,0.007379059875086469,True,False,True,False,True,True,True,False,True,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,D5,double,9,2,2,True,"[""base""]",False,True,False,1,8.122924555209465e-11,True,2,8.122924555209465e-11,5.743775036055333e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 6.948750475643806e-05, ""energy_max_ha"": -7.798434734976002, ""energy_mean_ha"": -7.798434735016617, ""energy_min_ha"": -7.798434735057231, ""energy_range_ha"": 8.122924555209465e-11, ""energy_sample_std_ha"": 5.743775036055333e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22870759"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.798434735057231,-7.798434734976002,6.948750475643806e-05,6.948745568902126e-05,6.948753691826681e-05,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,S0,single,9,2,2,True,"[""base""]",False,True,False,1,1.1103651331723086e-10,True,2,1.1103651331723086e-10,7.851467152592433e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.0009034815388009321, ""energy_max_ha"": -7.79760074091215, ""energy_mean_ha"": -7.797600740967669, ""energy_min_ha"": -7.797600741023187, ""energy_range_ha"": 1.1103651331723086e-10, ""energy_sample_std_ha"": 7.851467152592433e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22270741"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.797600741023187,-7.79760074091215,0.0009034815388009321,0.0009034814897335153,0.0009034816007700286,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,S3,single,9,2,2,True,"[""base""]",False,True,False,1,1.233946278489384e-11,True,2,1.233946278489384e-11,8.725317811397475e-12,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.00020980076048893181, ""energy_max_ha"": -7.798294421789159, ""energy_mean_ha"": -7.79829442179533, ""energy_min_ha"": -7.798294421801499, ""energy_range_ha"": 1.233946278489384e-11, ""energy_sample_std_ha"": 8.725317811397475e-12, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22370744"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.798294421801499,-7.798294421789159,0.00020980076048893181,0.00020980071142151502,0.0002098007237609778,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,S4,single,9,2,2,True,"[""base""]",False,True,False,1,1.8815971003505183e-10,True,2,1.8815971003505183e-10,1.3304900691187962e-10,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.0009034815858850465, ""energy_max_ha"": -7.797600740787943, ""energy_mean_ha"": -7.797600740882023, ""energy_min_ha"": -7.797600740976103, ""energy_range_ha"": 1.8815971003505183e-10, ""energy_sample_std_ha"": 1.3304900691187962e-10, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22470747"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.797600740976103,-7.797600740787943,0.0009034815858850465,0.0009034815368176297,0.0009034817249773397,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
3.0,3.000000,S7,single,9,2,2,True,"[""base""]",False,True,False,1,1.993694098700871e-11,True,2,1.993694098700871e-11,1.409754616802988e-11,"[{""basin_rank"": 1, ""best_absolute_error_ha"": 0.00020980074501331103, ""energy_max_ha"": -7.798294421797038, ""energy_mean_ha"": -7.798294421807006, ""energy_min_ha"": -7.7982944218169745, ""energy_range_ha"": 1.993694098700871e-11, ""energy_sample_std_ha"": 1.409754616802988e-11, ""initialization_identities"": [""random_confirmation|uniform_random|seed=22570750"", ""warm_start|compact10_parameter_deletion_warm_start|deterministic""], ""num_initializations"": 2}]",-7.79850422251292,-7.798504222561988,-7.7982944218169745,-7.798294421797038,0.00020980074501331103,0.00020980069594589423,0.00020980071588283522,True,True,True,True,True,True,True,False,False,True,True,True,all_initializations_energy_and_threshold_stable
